show processes cpu location 0/rp1/CPU0
Sat Dec 26 05:13:17.084 UTC
---- node0_RP1_CPU0 ----

CPU utilization for one minute: 0%; five minutes: 0%; fifteen minutes: 0%
 
PID    1Min    5Min    15Min Process
5902     0%      0%       0% ipv6_mfwd_partner
5903     0%      0%       0% pifibm_server_rp
5907     0%      0%       0% ipv4_io
5908     0%      0%       0% ipv4_ma
5910     0%      0%       0% ipv6_nd
5913     0%      0%       0% fib_mgr
5917     0%      0%       0% ipv6_ea
5921     0%      0%       0% ipv6_io
5924     0%      0%       0% procfind
5932     0%      0%       0% ipv6_ma
5933     0%      0%       0% debug_d
5939     0%      0%       0% shelf_mgr_proxy
6404     0%      0%       0% tunl_gre_ea
6427     0%      0%       0% flowtrap
6428     0%      0%       0% l2fib_mgr
6429     0%      0%       0% ipv6_assembler
6431     0%      0%       0% statsd_manager_l
6432     0%      0%       0% mpls_io
6433     0%      0%       0% ntpd
6434     0%      0%       0% clns
6435     0%      0%       0% arp
6436     0%      0%       0% raw_ip
6437     0%      0%       0% tcp
6438     0%      0%       0% udp
6439     0%      0%       0% l2snoop
6441     0%      0%       0% tftp_fs
6442     0%      0%       0% showd_lc
6443     0%      0%       0% lpts_fm
6445     0%      0%       0% ipsec_pp
6448     0%      0%       0% eem_ed_sysmgr
6453     0%      0%       0% http_client
6709     0%      0%       0% rsvp
6710     0%      0%       0% sdr_mgbl_proxy
6711     0%      0%       0% ospf
6712     0%      0%       0% ospfv3
6713     0%      0%       0% ospfv3_uv
6714     0%      0%       0% snmpd
6715     0%      0%       0% ospf
6719     0%      0%       0% isis
6720     0%      0%       0% ospf
6721     0%      0%       0% ospf_uv
6722     0%      0%       0% isis
6727     0%      0%       0% bgp
6728     0%      0%       0% isis
6729     0%      0%       0% isis
6730     0%      0%       0% isis_uv
6732     0%      0%       0% bpm
6733     0%      0%       0% ipv4_static
6734     0%      0%       0% srms
6735     0%      0%       0% policy_repository
6738     0%      0%       0% ipv6_rib
6739     0%      0%       0% ipv4_rib
6740     0%      0%       0% ipv4_local
6743     0%      0%       0% ipv4_connected
6744     0%      0%       0% ipv6_local
6745     0%      0%       0% ipv6_connected
6746     0%      0%       0% bgp_epe
6747     0%      0%       0% mpls_static
6750     0%      0%       0% ipv4_rump
6751     0%      0%       0% ipv6_rump
6753     0%      0%       0% statsd_manager_g
6899     0%      0%       0% redstatsd
6901     0%      0%       0% cmp_edm
6903     0%      0%       0% crypto_edm
6904     0%      0%       0% eth_mgmt
6908     0%      0%       0% imaedm_server
6910     0%      0%       0% ipodwdm
6911     0%      0%       0% local_sock
6912     0%      0%       0% pfilter_ma
6916     0%      0%       0% spio_ma
6918     0%      0%       0% ssm_process
7397     0%      0%       0% ether_caps_partner
7399     0%      0%       0% ether_sock
7458     0%      0%       0% mibd_entity
7462     0%      0%       0% mibd_infra
7465     0%      0%       0% mibd_interface
7467     0%      0%       0% mibd_route
7509     0%      0%       0% vlan_ea
7559     0%      0%       0% cdp
7620     0%      0%       0% rt_check_mgr
7621     0%      0%       0% l2vpn_mgr
7622     0%      0%       0% mpls_ldp
7810     0%      0%       0% kworker/1:1H
8563     0%      0%       0% kworker/u12:0
8773     0%      0%       0% kworker/3:1H
10425    0%      0%       0% kworker/4:1H
21469    0%      0%       0% kworker/u12:1
26384    0%      0%       0% perl
26433    0%      0%       0% perl
26498    0%      0%       0% perl
26503    0%      0%       0% kworker/2:1H
29756    0%      0%       0% sleep
RP/1/RP0/CPU0:NCS-6008-B#
