show processes cpu
Sat Dec 26 10:26:08.598 UTC

CPU utilization for one minute: 1%; five minutes: 1%; fifteen minutes: 1%
 
PID    1Min    5Min    15Min Process
532654   0%      0%       0% bgp_policy_reg_agent
532655   0%      0%       0% eigrp_policy_reg_agent
532656   0%      0%       0% igmp_policy_reg_agent
532657   0%      0%       0% isis_policy_reg_agent
532658   0%      0%       0% l2vpn_policy_reg_agent
532659   0%      0%       0% lisp_xr_policy_reg_agent
532660   0%      0%       0% mldp_policy_reg_agent
532661   0%      0%       0% ospf_policy_reg_agent
532662   0%      0%       0% ospfv3_policy_reg_agent
532663   0%      0%       0% pim6_policy_reg_agent
532664   0%      0%       0% pim_policy_reg_agent
532665   0%      0%       0% rip_policy_reg_agent
532666   0%      0%       0% cemgbl
532667   0%      0%       0% cethha
532668   0%      0%       0% debug_d
532670   0%      0%       0% redfs_config
733376   0%      0%       0% bcdls
733378   0%      0%       0% bcdls
938027   0%      0%       0% ema_server_sdr
938173   0%      0%       0% flowtrap
938175   0%      0%       0% l2fib_mgr
938177   0%      0%       0% l2rib
938179   0%      0%       0% sconbkup
938180   0%      0%       0% ipv6_assembler
938181   0%      0%       0% mpls_fwd_show_proxy
938182   0%      0%       0% shcfghistory-edm
938183   0%      0%       0% statsd_manager_l
938184   0%      0%       0% cpt_engine
938185   0%      0%       0% hm
938186   0%      0%       0% mpls_io
938187   0%      0%       0% ntpd
938188   0%      0%       0% nfma
938190   0%      0%       0% clns
938191   0%      0%       0% arp
938192   0%      0%       0% fstats_aggr
938193   0%      0%       0% ip_aps
938194   0%      0%       0% tcam_mgr_rp
938195   0%      0%       0% raw_ip
938196   0%      0%       0% tcp
938197   0%      0%       0% udp
938198   0%      0%       0% fhrp_output
938199   0%      0%       0% l2snoop
938200   0%      0%       0% pim6_ma
938201   0%      0%       0% pim_ma
938202   0%      0%       0% ip_app
938203   0%      0%       0% cinetd
938204   0%      0%       0% devc-vty
938205   0%      0%       0% bundlemgr_local
938206   0%      0%       0% otn_sync
938207   0%      0%       0% tftp_fs
938208   0%      0%       0% vi_config_replicator
938209   0%      0%       0% eem_server
938210   0%      0%       0% showd_lc
938211   0%      0%       0% tcl_secure_mode
938212   0%      0%       0% bcdls
938213   0%      0%       0% lpts_fm
938215   0%      0%       0% eem_policy_dir
938216   0%      0%       0% ipsec_pp
938217   0%      0%       0% cepki
938218   0%      0%       0% crypto_monitor
938219   0%      0%       0% eem_ed_config
938220   0%      0%       0% eem_ed_counter
938221   0%      0%       0% eem_ed_generic
938222   0%      0%       0% eem_ed_hardware
938223   0%      0%       0% eem_ed_nd
938224   0%      0%       0% eem_ed_none
938225   0%      0%       0% eem_ed_oir
938227   0%      0%       0% eem_ed_stats
938228   0%      0%       0% eem_ed_syslog
938229   0%      0%       0% eem_ed_test
938230   0%      0%       0% eem_ed_timer
938231   0%      0%       0% ipsec_mp
938232   0%      0%       0% object_tracking
938233   0%      0%       0% call_home
938235   0%      0%       0% fs_dev_info
938236   0%      0%       0% http_client
942322   0%      0%       0% redstatsd
942333   0%      0%       0% atmgcmgr
942334   0%      0%       0% cron
942335   0%      0%       0% crypto_edm
942336   0%      0%       0% div2_dm
942337   0%      0%       0% eem_ed_wdsysmon_edm
942338   0%      0%       0% es_acl_act_agent
942339   0%      0%       0% eth_mgmt
942340   0%      0%       0% fr_edm
942341   0%      0%       0% icpe_sdep
942342   0%      0%       0% imaedm_server
942343   0%      0%       0% ipodwdm
942344   0%      0%       0% ipv4_acl_act_agent
942345   0%      0%       0% ipv6_acl_cfg_agent
942346   0%      0%       0% lc_fpd_upgrade
942347   0%      0%       0% local_sock
