RP/0/RP0/CPU0:r1-a-hesj-1#show processes cpu location 0/RP0/CPU0 
Mon Dec 21 11:26:35.625 CST
---- node0_RP0_CPU0 ----

CPU utilization for one minute: 1%; five minutes: 2%; fifteen minutes: 2%
 
PID    1Min    5Min    15Min Process
5918     0%      0%       0% mempool_edm
5919     0%      0%       0% ncd
5920     0%      0%       0% nd_partner
5921     0%      0%       0% nsr_fo
5922     0%      0%       0% nsr_ping_reply
5923     0%      0%       0% rmf_cli_edm
5924     0%      0%       0% rsi_agent
5925     0%      0%       0% rsi_master
5926     0%      0%       0% sh_proc_mem_edm
5927     0%      0%       0% sysmgr_show_proc_all_edm
5929     0%      0%       0% tty_show_users_edm
5930     0%      0%       0% fpd-serv
5932     0%      0%       0% mpls_io_ea
5933     0%      0%       0% aib
5934     0%      0%       0% bundlemgr_adj
5937     0%      0%       0% statsd_server
5939     0%      0%       0% ipv4_arm
5941     0%      0%       0% ipv6_arm
5944     0%      0%       0% ipv4_acl_mgr
5951     0%      0%       0% ipv6_acl_daemon
5952     0%      0%       0% ipv4_mfwd_partner
5954     0%      0%       0% ipv6_mfwd_partner
5955     0%      0%       0% pifibm_server_rp
5959     0%      0%       0% ipv4_io
5964     0%      0%       0% ipv4_ma
5965     0%      0%       0% ipv6_nd
5966     0%      0%       0% policymgr_rp
5969     0%      0%       0% fib_mgr
5973     0%      0%       0% ipv6_ea
5975     0%      0%       0% ipv6_io
5981     0%      0%       0% procfind
5984     0%      0%       0% ipv6_ma
5990     0%      0%       0% mpls_lsd
5996     0%      0%       0% bgp_policy_reg_agent
6001     0%      0%       0% eigrp_policy_reg_agent
6008     0%      0%       0% igmp_policy_reg_agent
6016     0%      0%       0% isis_policy_reg_agent
6022     0%      0%       0% l2vpn_policy_reg_agent
6025     0%      0%       0% lisp_xr_policy_reg_agent
6033     0%      0%       0% mldp_policy_reg_agent
6042     0%      0%       0% ospf_policy_reg_agent
6046     0%      0%       0% ospfv3_policy_reg_agent
6053     0%      0%       0% pim6_policy_reg_agent
6066     0%      0%       0% pim_policy_reg_agent
6075     0%      0%       0% rip_policy_reg_agent
6098     0%      0%       0% debug_d
6133     0%      0%       0% shelf_mgr_proxy
6525     0%      0%       0% bcdl_agent
6763     0%      0%       0% bcdls
6808     0%      0%       0% kim
6809     0%      0%       0% ema_server_sdr
6810     0%      0%       0% flowtrap
6811     0%      0%       0% l2fib_mgr
6813     0%      0%       0% l2rib
6814     0%      0%       0% sconbkup
6815     0%      0%       0% ipv6_assembler
6816     0%      0%       0% mpls_fwd_show_proxy
6817     0%      0%       0% shcfghistory-edm
6818     0%      0%       0% statsd_manager_l
6819     0%      0%       0% mpls_io
6820     0%      0%       0% ntpd
6821     0%      0%       0% nfma
6822     0%      0%       0% clns
6823     0%      0%       0% arp
6824     0%      0%       0% ip_aps
6825     0%      0%       0% tcam_mgr_rp
6826     0%      0%       0% raw_ip
6828     0%      0%       0% tcp
6830     0%      0%       0% udp
6834     0%      0%       0% fhrp_output
6836     0%      0%       0% l2snoop
6837     0%      0%       0% pim6_ma
6840     0%      0%       0% pim_ma
6844     0%      0%       0% ip_app
6850     0%      0%       0% cinetd
6851     0%      0%       0% devc-vty
6856     0%      0%       0% otn_sync
6865     0%      0%       0% tftp_fs
6868     0%      0%       0% vi_config_replicator
6872     0%      0%       0% eem_server
6879     0%      0%       0% showd_lc
6890     0%      0%       0% tcl_secure_mode
6894     0%      0%       0% lpts_fm
6907     0%      0%       0% eem_policy_dir
6914     0%      0%       0% ipsec_mp
6917     0%      0%       0% ipsec_pp
6920     0%      0%       0% cepki
