RP/0/RP0/CPU0:r1-a-hesj-1#show processes cpu location 0/RP1/CPU0 
Mon Dec 21 11:39:03.292 CST
---- node0_RP1_CPU0 ----

CPU utilization for one minute: 3%; five minutes: 3%; fifteen minutes: 3%
 
PID    1Min    5Min    15Min Process
5648     0%      0%       0% bundlemgr_adj
5649     0%      0%       0% statsd_server
5650     0%      0%       0% ipv4_mfwd_partner
5653     0%      0%       0% ipv6_mfwd_partner
5655     0%      0%       0% pifibm_server_rp
5656     0%      0%       0% ipv4_io
5658     0%      0%       0% ipv4_ma
5661     0%      0%       0% ipv6_nd
5670     0%      0%       0% fib_mgr
5672     0%      0%       0% ipv6_ea
5678     0%      0%       0% ipv6_io
5686     0%      0%       0% procfind
5697     0%      0%       0% ipv6_ma
5700     0%      0%       0% debug_d
5715     0%      0%       0% shelf_mgr_proxy
6143     0%      0%       0% kim
6144     0%      0%       0% flowtrap
6145     0%      0%       0% l2fib_mgr
6146     0%      0%       0% ipv6_assembler
6147     0%      0%       0% mpls_fwd_show_proxy
6148     0%      0%       0% statsd_manager_l
6149     0%      0%       0% mpls_io
6150     0%      0%       0% ntpd
6151     0%      0%       0% nfma
6152     0%      0%       0% ipv4_rump
6153     0%      0%       0% ipv6_rump
6154     0%      0%       0% bgp_epe
6155     0%      0%       0% ipv6_local
6157     0%      0%       0% ipv6_connected
6158     0%      0%       0% ipv4_local
6159     0%      0%       0% ipv4_connected
6160     0%      0%       0% policy_repository
6161     0%      0%       0% ipv6_rib
6162     0%      0%       0% ipv4_rib
6165     0%      0%       0% statsd_manager_g
6166     0%      0%       0% mpls_static
6167     0%      0%       0% clns
6169     0%      0%       0% arp
6170     0%      0%       0% tcam_mgr_rp
6171     0%      0%       0% raw_ip
6175     0%      0%       0% tcp
6180     0%      0%       0% udp
6182     0%      0%       0% fhrp_output
6184     0%      0%       0% l2snoop
6188     0%      0%       0% otn_sync
6191     0%      0%       0% tftp_fs
6192     0%      0%       0% showd_lc
6194     0%      0%       0% lpts_fm
6204     0%      0%       0% ipsec_pp
6207     0%      0%       0% eem_ed_sysmgr
6213     0%      0%       0% http_client
6834     0%      0%       0% bcdls
6838     0%      0%       0% bcdls
6974     0%      0%       0% redstatsd
6975     0%      0%       0% cmp_edm
6976     0%      0%       0% crypto_edm
6977     0%      0%       0% eth_mgmt
6978     0%      0%       0% icpe_sdep
6979     0%      0%       0% imaedm_server
6980     0%      0%       0% ipodwdm
6981     0%      0%       0% local_sock
6982     0%      0%       0% netio_debug_partner
6983     0%      0%       0% pam_manager
6984     0%      0%       0% pfilter_ma
6987     0%      0%       0% spio_ma
6988     0%      0%       0% ssm_process
7165     0%      0%       0% ether_caps_partner
7167     0%      0%       0% ether_sock
7194     0%      0%       0% vlan_ea
7205     0%      0%       0% l2vpn_mgr
7206     0%      0%       0% mpls_ldp
7207     0%      0%       0% rt_check_mgr
7294     0%      0%       0% sdr_mgbl_proxy
7295     0%      0%       0% sdr_mgbl_proxy
7424     0%      0%       0% kworker/u12:1
8194     0%      0%       0% perl
8348     0%      0%       0% perl
8421     0%      0%       0% perl
8546     0%      0%       0% kworker/1:1H
8940     0%      0%       0% kworker/4:1H
12576    0%      0%       0% sleep
14366    0%      0%       0% bpm
14367    0%      0%       0% isis
14368    0%      0%       0% isis_uv
14369    0%      0%       0% snmpd
14370    0%      0%       0% ipv4_static
14371    0%      0%       0% ipv6_static
14483    0%      0%       0% mibd_entity
14486    0%      0%       0% mibd_infra
14487    0%      0%       0% mibd_interface
14489    0%      0%       0% mibd_route
14549    0%      0%       0% bgp
18342    0%      0%       0% kworker/5:1H
22600    0%      0%       0% rsvp
22660    0%      0%       0% srms
23600    0%      0%       0% kworker/u12:2
29730    0%      0%       0% exec
RP/0/RP0/CPU0:r1-a-hesj-1#
